cve_id,degree_cent,betweenness,closeness,eigenvector,pagerank,cvss_score,severity
CVE-2021-3974,0.28765725943556614,0.0002941662002270079,0.5719564371839752,0.04311809226238274,0.0006097901395414477,7.8,HIGH
CVE-2021-3842,0.24651479088745326,0.0015607736193246772,0.5545917405242315,0.03648405116520447,0.000608814444187522,7.5,HIGH
CVE-2021-44730,0.2764365861951717,0.0008764853790970132,0.5660123171670516,0.04183281633292214,0.0006078467151308732,7.8,HIGH
CVE-2021-44731,0.2764365861951717,0.0008764853790970132,0.5660123171670516,0.04183281633292213,0.0006078467151308732,7.8,HIGH
CVE-2021-37695,0.263855831349881,0.001151547236398446,0.5613666730292041,0.03934386043455438,0.0006060528633430655,7.3,HIGH
CVE-2021-20305,0.27507650459027544,0.0005647279836855258,0.5654681791963084,0.04096579992728452,0.0006045466295249621,8.1,HIGH
CVE-2021-29472,0.2842570554233254,0.0003432274625659663,0.569078947368421,0.043328956527208716,0.0006036893967315173,8.8,HIGH
CVE-2021-41099,0.2856171370282217,0.00025163299051801673,0.5691890845751887,0.04346676072043591,0.0006019170218704437,7.5,HIGH
CVE-2021-32675,0.2852771166269976,0.00024506269374959157,0.5688588007736944,0.04344315599835183,0.0006006087695500748,7.5,HIGH
CVE-2021-32626,0.2852771166269976,0.00024506269374959157,0.5688588007736944,0.04344315599835182,0.0006006087695500748,7.5,HIGH
CVE-2021-32627,0.2852771166269976,0.00024506269374959157,0.5688588007736944,0.043443155998351815,0.0006006087695500748,7.5,HIGH
CVE-2021-32628,0.2852771166269976,0.00024506269374959157,0.5688588007736944,0.04344315599835181,0.0006006087695500748,7.5,HIGH
CVE-2021-32762,0.2852771166269976,0.00024506269374959157,0.5688588007736944,0.04344315599835182,0.0006006087695500748,7.5,HIGH
CVE-2021-32687,0.2852771166269976,0.00024506269374959157,0.5688588007736944,0.04344315599835181,0.0006006087695500748,7.5,HIGH
CVE-2021-28651,0.28459707582454946,0.0002705433358634484,0.5694094869312681,0.043355620441248764,0.0006004461744253915,7.5,HIGH
CVE-2021-21107,0.27745664739884396,0.0052056170213146714,0.5606176134197484,0.03834900322331685,0.0005990697811777849,9.6,CRITICAL
CVE-2021-37961,0.28459707582454946,0.0002905429816268558,0.5663393029077605,0.042616251882158326,0.0005990047919824974,8.8,HIGH
CVE-2021-37957,0.28459707582454946,0.0002905429816268558,0.5663393029077605,0.04261625188215833,0.0005990047919824974,8.8,HIGH
CVE-2021-37956,0.28459707582454946,0.0002905429816268558,0.5663393029077605,0.04261625188215832,0.0005990047919824974,8.8,HIGH
CVE-2021-37959,0.28459707582454946,0.0002905429816268558,0.5663393029077605,0.042616251882158326,0.0005990047919824974,8.8,HIGH
CVE-2021-37970,0.28459707582454946,0.0002905429816268558,0.5663393029077605,0.04261625188215834,0.0005990047919824974,8.8,HIGH
CVE-2021-37962,0.28459707582454946,0.0002905429816268558,0.5663393029077605,0.04261625188215833,0.0005990047919824974,8.8,HIGH
CVE-2021-37973,0.28459707582454946,0.0002905429816268558,0.5663393029077605,0.04261625188215835,0.0005990047919824974,9.6,CRITICAL
CVE-2021-41990,0.28493709622577357,0.00022927966530642566,0.5687487913362986,0.04343933041850902,0.000598747019788832,7.5,HIGH
CVE-2021-27803,0.28391703502210136,0.00025154003034910037,0.5689688527761656,0.04332816858468456,0.0005977146035084486,7.5,HIGH
CVE-2021-29457,0.28391703502210136,0.00025154003034910037,0.5689688527761656,0.04332816858468455,0.0005977146035084486,7.8,HIGH
CVE-2021-28091,0.28391703502210136,0.00025154003034910037,0.5689688527761656,0.043328168584684565,0.0005977146035084486,7.5,HIGH
CVE-2021-31292,0.28391703502210136,0.00025154003034910037,0.5689688527761656,0.043328168584684565,0.0005977146035084486,7.5,HIGH
CVE-2021-3246,0.28391703502210136,0.00025154003034910037,0.5689688527761656,0.04332816858468456,0.0005977146035084486,8.8,HIGH
CVE-2021-3773,0.2577354641278477,0.002504480844225362,0.5482848620432513,0.030730930739429077,0.0005952839377784307,9.8,CRITICAL
CVE-2021-33574,0.2733764025841551,0.0006827335103795802,0.5626554428926727,0.04198116725970943,0.0005948109918388077,9.8,CRITICAL
CVE-2021-45417,0.2614756885413125,0.000929018730168931,0.5598705501618123,0.03755507784150093,0.0005940335059342163,7.8,HIGH
CVE-2021-3518,0.2563753825229514,0.0008947788308651546,0.5573242372560167,0.038491911030271206,0.0005930018549074874,8.8,HIGH
CVE-2021-21204,0.2716763005780347,0.0010802272478914001,0.5621177370030581,0.04214986739504762,0.0005902295644129612,8.8,HIGH
